filename, number_of_jobs, number_of_machines, best_result
100_20_01 , 100, 20,   1.79211e+06
100_20_02 , 100, 20, 1.81066e+06
100_20_03 , 100, 20, 1.67988e+06
100_20_04 , 100, 20, 1.94348e+06
100_20_05 , 100, 20, 1.53909e+06
100_20_06 , 100, 20, 1.66053e+06
100_20_07 , 100, 20, 1.78358e+06
100_20_08 , 100, 20, 1.75447e+06
100_20_09 , 100, 20, 1.85218e+06
100_20_10 , 100, 20, 1.66007e+06
100_20_11 , 100, 20, 1.8163e+06
100_20_12 , 100, 20, 1.71162e+06
100_20_13 , 100, 20, 1.71283e+06
100_20_14 , 100, 20, 1.70935e+06
100_20_15 , 100, 20, 1.44914e+06
100_20_16 , 100, 20, 1.84732e+06
100_20_17 , 100, 20, 1.77765e+06
100_20_18 , 100, 20, 1.82401e+06
100_20_19 , 100, 20, 1.67571e+06
100_20_20 , 100, 20, 1.80177e+06
100_20_21 , 100, 20, 1.70912e+06
100_20_22 , 100, 20, 1.7408e+06
100_20_23 , 100, 20, 1.7766e+06
100_20_24 , 100, 20, 1.69261e+06
100_20_25 , 100, 20, 1.7138e+06
100_20_26 , 100, 20, 1.56592e+06
100_20_27 , 100, 20, 1.86216e+06
100_20_28 , 100, 20, 1.73259e+06
100_20_29 , 100, 20, 1.99223e+06
100_20_30 , 100, 20, 1.77045e+06
50_20_01 , 50, 20, 595260
50_20_02 , 50, 20, 622342
50_20_03 , 50, 20, 592745
50_20_04 , 50, 20, 666621
50_20_05 , 50, 20, 653748
50_20_06 , 50, 20, 643294
50_20_07 , 50, 20, 565375
50_20_08 , 50, 20, 532097
50_20_09 , 50, 20, 572797
50_20_10 , 50, 20, 600785
50_20_11 , 50, 20, 604272
50_20_12 , 50, 20, 584199
50_20_13 , 50, 20, 551945
50_20_14 , 50, 20, 572954
50_20_15 , 50, 20, 595368
50_20_16 , 50, 20, 551243
50_20_17 , 50, 20, 647036
50_20_18 , 50, 20, 630186
50_20_19 , 50, 20, 465508
50_20_20 , 50, 20, 565240
50_20_21 , 50, 20, 617905
50_20_22 , 50, 20, 642666
50_20_23 , 50, 20, 602536
50_20_24 , 50, 20, 552363
50_20_25 , 50, 20, 587942
50_20_26 , 50, 20, 600296
50_20_27 , 50, 20, 563816
50_20_28 , 50, 20, 549809
50_20_29 , 50, 20, 545184
50_20_30 , 50, 20, 509210
