filename, jobs, machines, algo, seed, exec_time, result, lambda, dsize, max_time
./instances/50_20_01, 50, 20, iga, 758437, 19048, 599896, 2, 8, 100000
./instances/50_20_01, 50, 20, iga, 684884, 14534, 599677, 2, 8, 100000
./instances/50_20_01, 50, 20, iga, 328616, 13691, 598961, 2, 8, 100000
./instances/50_20_01, 50, 20, iga, 864814, 27912, 600007, 2, 8, 100000
./instances/50_20_01, 50, 20, iga, 10504, 29415, 599036, 2, 8, 100000
./instances/50_20_02, 50, 20, iga, 455873, 18519, 625117, 2, 8, 100000
./instances/50_20_02, 50, 20, iga, 144503, 15821, 625043, 2, 8, 100000
./instances/50_20_02, 50, 20, iga, 666428, 13924, 625685, 2, 8, 100000
./instances/50_20_02, 50, 20, iga, 889973, 16819, 626057, 2, 8, 100000
./instances/50_20_02, 50, 20, iga, 601087, 26616, 625892, 2, 8, 100000
./instances/50_20_03, 50, 20, iga, 379674, 16303, 593800, 2, 8, 100000
./instances/50_20_03, 50, 20, iga, 236338, 18298, 597043, 2, 8, 100000
./instances/50_20_03, 50, 20, iga, 13919, 19892, 595302, 2, 8, 100000
./instances/50_20_03, 50, 20, iga, 316263, 16223, 593736, 2, 8, 100000
./instances/50_20_03, 50, 20, iga, 115325, 20350, 594643, 2, 8, 100000
./instances/50_20_04, 50, 20, iga, 441228, 15196, 672668, 2, 8, 100000
./instances/50_20_04, 50, 20, iga, 777294, 14509, 670896, 2, 8, 100000
./instances/50_20_04, 50, 20, iga, 22098, 20399, 669472, 2, 8, 100000
./instances/50_20_04, 50, 20, iga, 841763, 14792, 671141, 2, 8, 100000
./instances/50_20_04, 50, 20, iga, 22983, 13948, 672973, 2, 8, 100000
./instances/50_20_05, 50, 20, iga, 664393, 34536, 655246, 2, 8, 100000
./instances/50_20_05, 50, 20, iga, 654211, 22536, 661877, 2, 8, 100000
./instances/50_20_05, 50, 20, iga, 94116, 24702, 655153, 2, 8, 100000
./instances/50_20_05, 50, 20, iga, 776721, 28682, 655966, 2, 8, 100000
./instances/50_20_05, 50, 20, iga, 63345, 14103, 660862, 2, 8, 100000
./instances/50_20_06, 50, 20, iga, 744335, 19404, 644721, 2, 8, 100000
./instances/50_20_06, 50, 20, iga, 952924, 35346, 646132, 2, 8, 100000
./instances/50_20_06, 50, 20, iga, 498764, 13717, 646260, 2, 8, 100000
./instances/50_20_06, 50, 20, iga, 27348, 13657, 648626, 2, 8, 100000
./instances/50_20_06, 50, 20, iga, 122372, 16218, 644469, 2, 8, 100000
./instances/50_20_07, 50, 20, iga, 649183, 16508, 569851, 2, 8, 100000
./instances/50_20_07, 50, 20, iga, 232088, 18114, 567562, 2, 8, 100000
./instances/50_20_07, 50, 20, iga, 622094, 14281, 573515, 2, 8, 100000
./instances/50_20_07, 50, 20, iga, 315040, 15518, 570841, 2, 8, 100000
./instances/50_20_07, 50, 20, iga, 527525, 20965, 571851, 2, 8, 100000
./instances/50_20_08, 50, 20, iga, 87344, 16095, 534029, 2, 8, 100000
./instances/50_20_08, 50, 20, iga, 823292, 31197, 533876, 2, 8, 100000
./instances/50_20_08, 50, 20, iga, 964909, 14698, 539123, 2, 8, 100000
./instances/50_20_08, 50, 20, iga, 247941, 15940, 535859, 2, 8, 100000
