filename, jobs, machines, algo, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, exec_time, result
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 797877, tei, 861, 1842869
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 797877, tie, 1897, 1827132
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 921004, tei, 823, 1842869
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 921004, tie, 1954, 1827132
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 568709, tei, 831, 1842869
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 568709, tie, 1901, 1827132
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 303629, tei, 826, 1842869
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 303629, tie, 1900, 1827132
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 36862, tei, 822, 1842869
./instances/100_20_01, 100, 20, vnd, 0, rz, t, 36862, tie, 1901, 1827132
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 341729, tei, 1558, 1851689
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 341729, tie, 2703, 1850752
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 638545, tei, 1998, 1851689
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 638545, tie, 3459, 1850752
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 919694, tei, 1716, 1851689
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 919694, tie, 2874, 1850752
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 238967, tei, 1651, 1851689
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 238967, tie, 2899, 1850752
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 401651, tei, 1679, 1851689
./instances/100_20_02, 100, 20, vnd, 0, rz, t, 401651, tie, 2874, 1850752
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 479845, tei, 1885, 1707663
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 479845, tie, 2213, 1714616
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 312793, tei, 2056, 1707663
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 312793, tie, 2164, 1714616
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 469606, tei, 1899, 1707663
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 469606, tie, 2172, 1714616
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 590241, tei, 1911, 1707663
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 590241, tie, 2176, 1714616
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 529898, tei, 1895, 1707663
./instances/100_20_03, 100, 20, vnd, 0, rz, t, 529898, tie, 2174, 1714616
./instances/100_20_04, 100, 20, vnd, 0, rz, t, 302402, tei, 2012, 1988380
./instances/100_20_04, 100, 20, vnd, 0, rz, t, 302402, tie, 979, 1990611
./instances/100_20_04, 100, 20, vnd, 0, rz, t, 247792, tei, 2022, 1988380
